"ID"	"MaxEcotype"	"AssignmentP"	"AssignmentQ"	"AssignedToEcotypeStates"	"Ecotype"	"Pattern"	"Status"	"Lanes"	"Source"	"PatternFull"
"84"	"LP65"	"E1"	0.00374939947020074	0.00692685664833696	TRUE	"E1"	"E"	"Variant"	"NovaSeqB2"	"StanfordBinkley"	"E"
"86"	"LP68"	"E1"	0.000479494034778485	0.00137391142669734	TRUE	"E1"	"A/B"	"Typical"	"NovaSeqB2"	"StanfordBinkley"	"A/B"
"87"	"LP69"	"E1"	0.0373256715616471	0.0535328710555202	TRUE	"E1"	"F"	"Typical"	"NovaSeqB2"	"StanfordBinkley"	"Var C and F"
"88"	"LP70"	"E1"	0.0722958920572901	0.0895483208436889	TRUE	"E1"	"A/B"	"Typical"	"NovaSeqB4"	"StanfordBinkley"	"A/B"
"89"	"LP71"	"E1"	0.00218810019553635	0.00460192991570596	TRUE	"E1"	"E"	"Variant"	"NovaSeqB4"	"StanfordBinkley"	"C/D/E"
"90"	"LP72"	"E1"	0.367020144306597	0.370631783242811	FALSE	"Unassigned"	"C"	"Variant"	"NovaSeqB4"	"StanfordBinkley"	"C"
"93"	"LP81"	"E1"	0.0449503890393211	0.0617231643141994	TRUE	"E1"	"C"	"Typical"	"NovaSeqB4"	"Other"	"A/C"
"94"	"LP82"	"E1"	0.21883569361638	0.240940309133186	TRUE	"E1"	"A/B"	"Typical"	"NovaSeqB4"	"Other"	"A"
"95"	"LP83"	"E1"	0.0836591432622251	0.100207105665742	FALSE	"Unassigned"	"A/B"	"Typical"	"NovaSeqB4"	"Other"	"A"
"97"	"LP85"	"E1"	0.0768368721657041	0.0941035850119298	FALSE	"Unassigned"	"D"	"Variant"	"NovaSeqB4"	"Other"	"A/D"
"98"	"LP87"	"E1"	0.00371415129927078	0.00692685664833696	TRUE	"E1"	"A/B"	"Typical"	"NovaSeqB4"	"Other"	"A"
"99"	"LP89"	"E1"	0.226068481040291	0.243974895380117	FALSE	"Unassigned"	"D"	"Variant"	"NovaSeqB4"	"Other"	"D"
"21"	"LP110"	"E2"	0.000248330035850373	0.000796116879637962	TRUE	"E2"	"A/B"	"Typical"	"NovaSeqB6"	"StanfordBinkley"	"A"
"22"	"LP111"	"E2"	6.15515216375627e-05	0.00027954649410393	TRUE	"E2"	"A/B"	"Typical"	"NovaSeqB6"	"StanfordBinkley"	"A"
"24"	"LP113"	"E2"	5.68744459375974e-07	4.76870354399855e-06	TRUE	"E2"	"A/B"	"Typical"	"NovaSeqB6"	"StanfordBinkley"	"A"
"30"	"LP119"	"E2"	2.01449525266329e-07	1.97398311444275e-06	TRUE	"E2"	"D"	"Variant"	"NovaSeqB6"	"StanfordBinkley"	"A/D"
"40"	"LP19"	"E2"	0.115128357282895	0.134935386492855	TRUE	"E2"	"D"	"Variant"	"NovaSeqB1"	"StanfordBinkley"	"E"
"46"	"LP25"	"E2"	0.00119003799521602	0.00281987264083795	TRUE	"E2"	"A/B"	"Typical"	"NovaSeqB1"	"StanfordBinkley"	"A/B"
"47"	"LP26"	"E2"	1.45690176544157e-10	5.29340974777105e-09	TRUE	"E2"	"E"	"Variant"	"NovaSeqB1"	"StanfordBinkley"	"Variant - Pattern E"
"52"	"LP31"	"E2"	0.00247335037629642	0.00508670171728886	TRUE	"E2"	"A/B"	"Typical"	"NovaSeqB1"	"StanfordBinkley"	"A/B - Pattern A"
"57"	"LP37"	"E2"	0.0081283696618173	0.0132237655692252	TRUE	"E2"	"A/B"	"Typical"	"NovaSeqB1"	"StanfordBinkley"	"A"
"59"	"LP39"	"E2"	0.0380827747700917	0.0539093824667532	TRUE	"E2"	"NOS"	"NOS"	"NovaSeqB1"	"StanfordBinkley"	"Non diagnostic"
"61"	"LP41"	"E2"	0.00122583493050845	0.00284289377500897	TRUE	"E2"	"D"	"Variant"	"NovaSeqB1"	"StanfordBinkley"	"A/C/D"
"67"	"LP47"	"E2"	0.0062391109301467	0.0106390122693633	TRUE	"E2"	"E"	"Variant"	"NovaSeqB1"	"StanfordBinkley"	"A/C/E"
"70"	"LP50"	"E2"	0.00219541610657532	0.00460192991570596	TRUE	"E2"	"NOS"	"NOS"	"NovaSeqB1"	"StanfordBinkley"	" "
"71"	"LP51"	"E2"	0.00387985348346841	0.00704840049496761	TRUE	"E2"	"A/B"	"Typical"	"NovaSeqB1"	"StanfordBinkley"	"A"
"72"	"LP52"	"E2"	0.00409307712868464	0.00731385913158403	TRUE	"E2"	"A/B"	"Typical"	"NovaSeqB1"	"StanfordBinkley"	"A"
"73"	"LP53"	"E2"	6.94320895107456e-05	0.000286160374314965	TRUE	"E2"	"NOS"	"NOS"	"NovaSeqB1"	"StanfordBinkley"	" "
"74"	"LP54"	"E2"	0.00331577232918465	0.00646265545777369	TRUE	"E2"	"E"	"Variant"	"NovaSeqB1"	"StanfordBinkley"	"A/C/D/E"
"75"	"LP55"	"E2"	8.48649762315506e-06	4.86856968907316e-05	TRUE	"E2"	"NOS"	"NOS"	"NovaSeqB1"	"StanfordBinkley"	" "
"77"	"LP58"	"E2"	0.00743985166152915	0.0122870277440406	TRUE	"E2"	"D"	"Variant"	"NovaSeqB1"	"StanfordBinkley"	"A/D"
"78"	"LP59"	"E2"	0.0406415562660308	0.0567939696538123	FALSE	"Unassigned"	"A/B"	"Typical"	"NovaSeqB1"	"StanfordBinkley"	"A"
"80"	"LP61"	"E2"	0.00666557215866682	0.0111776517737644	TRUE	"E2"	"C"	"Variant"	"NovaSeqB1"	"StanfordBinkley"	"A/C"
"92"	"LP80"	"E2"	6.99099887220779e-05	0.000286160374314965	TRUE	"E2"	"A/B"	"Typical"	"NovaSeqB4"	"Other"	"A"
"96"	"LP84"	"E2"	0.169544410408706	0.192503549318219	TRUE	"E2"	"A/B"	"Typical"	"NovaSeqB4"	"Other"	"A/B"
"103"	"LP93"	"E2"	0.0217957529136589	0.0325443433916276	TRUE	"E2"	"F"	"Variant"	"NovaSeqB6"	"StanfordBinkley"	"D/F"
"10"	"LP100"	"E3"	0.000596483960616203	0.0015857744318821	TRUE	"E3"	"A/B"	"Typical"	"NovaSeqB6"	"StanfordBinkley"	"A/B"
"12"	"LP102"	"E3"	0.0105143028579431	0.0168538089928794	FALSE	"Unassigned"	"A/B"	"Typical"	"NovaSeqB6"	"StanfordBinkley"	"A/B"
"13"	"LP103"	"E3"	1.52721960504477e-08	2.37809909928399e-07	TRUE	"E3"	"A/B"	"Typical"	"NovaSeqB6"	"StanfordBinkley"	"A/B"
"14"	"LP104"	"E3"	2.97214123413678e-10	8.09908486302274e-09	TRUE	"E3"	"NOS"	"NOS"	"NovaSeqB6"	"StanfordBinkley"	"unknown"
"15"	"LP105"	"E3"	0.00364184058729669	0.00692685664833696	FALSE	"Unassigned"	"A/B"	"Typical"	"NovaSeqB6"	"StanfordBinkley"	"A/B"
"16"	"LP106"	"E3"	0.000526700762641324	0.00143525957819761	TRUE	"E3"	"A/B"	"Typical"	"NovaSeqB6"	"StanfordBinkley"	"A/B"
"17"	"LP107"	"E3"	5.63820289664124e-05	0.000267201789449519	TRUE	"E3"	"A/B"	"Typical"	"NovaSeqB6"	"StanfordBinkley"	"A"
"18"	"LP108"	"E3"	9.8551119529708e-05	0.000370416276853041	TRUE	"E3"	"A/B"	"Typical"	"NovaSeqB6"	"StanfordBinkley"	"A/B"
"19"	"LP109"	"E3"	7.57904845340671e-10	1.65223256284266e-08	TRUE	"E3"	"D"	"Variant"	"NovaSeqB6"	"StanfordBinkley"	"A/B and Focal D"
"25"	"LP114"	"E3"	0.201561066117953	0.226496455740792	TRUE	"E3"	"A/B"	"Typical"	"NovaSeqB6"	"StanfordBinkley"	"A"
"37"	"LP16"	"E3"	0.0544932949687848	0.0716582314481879	TRUE	"E3"	"C"	"Variant"	"NovaSeqB1"	"StanfordBinkley"	"Variant Pattern C"
"41"	"LP20"	"E3"	0.00320485036195468	0.00646265545777369	TRUE	"E3"	"A/B"	"Typical"	"NovaSeqB1"	"StanfordBinkley"	"A/B"
"44"	"LP23"	"E3"	0.127829070112944	0.146667038340115	TRUE	"E3"	"A/B"	"Typical"	"NovaSeqB1"	"StanfordBinkley"	"A/B"
"48"	"LP27"	"E3"	0.000142499086868586	0.000485387514646121	TRUE	"E3"	"E"	"Variant"	"NovaSeqB1"	"StanfordBinkley"	"Variant - Pattern E"
"49"	"LP28"	"E3"	0.0141210629535212	0.0219885123133402	TRUE	"E3"	"A/B"	"Typical"	"NovaSeqB1"	"StanfordBinkley"	"A/B"
"50"	"LP29"	"E3"	0.0476813818852981	0.064163834882685	TRUE	"E3"	"A/B"	"Typical"	"NovaSeqB1"	"StanfordBinkley"	"A/B"
"53"	"LP32"	"E3"	5.24274566809843e-06	3.17477376568183e-05	TRUE	"E3"	"A/B"	"Typical"	"NovaSeqB1"	"StanfordBinkley"	"Pattern A/B - Pattern A"
"54"	"LP33"	"E3"	0.00598985391845922	0.0105305496308396	TRUE	"E3"	"E"	"Variant"	"NovaSeqB1"	"StanfordBinkley"	"A/E/F"
"55"	"LP34"	"E3"	0.00219330116153913	0.00460192991570596	TRUE	"E3"	"C"	"Variant"	"NovaSeqB1"	"StanfordBinkley"	"A/C"
"56"	"LP35"	"E3"	7.08837624449912e-05	0.000286160374314965	TRUE	"E3"	"A/B"	"Typical"	"NovaSeqB1"	"StanfordBinkley"	"A"
"58"	"LP38"	"E3"	0.206443242360115	0.229615443033189	FALSE	"Unassigned"	"NOS"	"NOS"	"NovaSeqB1"	"StanfordBinkley"	" "
"62"	"LP42"	"E3"	9.9056237294183e-07	7.71223561790425e-06	TRUE	"E3"	"C"	"Variant"	"NovaSeqB1"	"StanfordBinkley"	"A/C"
"64"	"LP44"	"E3"	0.0545654422954091	0.0716582314481879	TRUE	"E3"	"E"	"Variant"	"NovaSeqB1"	"StanfordBinkley"	"A/C/D/E"
"65"	"LP45"	"E3"	0.000303556523830106	0.000945361745642331	TRUE	"E3"	"NOS"	"NOS"	"NovaSeqB1"	"StanfordBinkley"	" "
"66"	"LP46"	"E3"	0.0648774453742625	0.0822283900673792	TRUE	"E3"	"NOS"	"NOS"	"NovaSeqB1"	"StanfordBinkley"	" "
"68"	"LP48"	"E3"	1.51685281403627e-05	8.26684783649766e-05	TRUE	"E3"	"NOS"	"NOS"	"NovaSeqB1"	"StanfordBinkley"	" "
"69"	"LP49"	"E3"	2.952641269727e-06	2.01148686500152e-05	TRUE	"E3"	"NOS"	"NOS"	"NovaSeqB1"	"StanfordBinkley"	" "
"85"	"LP67"	"E3"	0.00108709401423406	0.00263318327892249	TRUE	"E3"	"A/B"	"Typical"	"NovaSeqB2"	"StanfordBinkley"	"A/B"
"91"	"LP79"	"E3"	0.0213195954951677	0.03227549873574	TRUE	"E3"	"D"	"Variant"	"NovaSeqB4"	"Other"	"C/D"
"100"	"LP90"	"E3"	0.00624675949760783	0.0106390122693633	TRUE	"E3"	"F"	"Variant"	"NovaSeqB6"	"StanfordBinkley"	"A/F"
"101"	"LP91"	"E3"	0.000110243225473993	0.00040055038588884	TRUE	"E3"	"A/B"	"Typical"	"NovaSeqB6"	"StanfordBinkley"	"A/B"
"102"	"LP92"	"E3"	1.16145736979439e-10	5.29340974777105e-09	TRUE	"E3"	"A/B"	"Typical"	"NovaSeqB6"	"StanfordBinkley"	"A"
"104"	"LP94"	"E3"	0.000613044890571826	0.00159099745410307	TRUE	"E3"	"E"	"Variant"	"NovaSeqB6"	"StanfordBinkley"	"D/E"
"105"	"LP95"	"E3"	0.00332026335445254	0.00646265545777369	TRUE	"E3"	"A/B"	"Typical"	"NovaSeqB6"	"StanfordBinkley"	"A/B"
"106"	"LP96"	"E3"	0.335667209472083	0.348454531737686	TRUE	"Unassigned"	"C"	"Variant"	"NovaSeqB6"	"StanfordBinkley"	"A/C"
"107"	"LP97"	"E3"	0.000491582987533909	0.00137391142669734	TRUE	"E3"	"A/B"	"Typical"	"NovaSeqB6"	"StanfordBinkley"	"A"
"108"	"LP98"	"E3"	0.000138033814556468	0.000485344702795325	TRUE	"E3"	"A/B"	"Typical"	"NovaSeqB6"	"StanfordBinkley"	"A/B"
"109"	"LP99"	"E3"	0.0147610946232133	0.02266139878775	FALSE	"Unassigned"	"A/B"	"Typical"	"NovaSeqB6"	"StanfordBinkley"	"A/B"
